Date,Open,High,Low,Close,Volume
2004-08-05,1727.0,1736.0,1545.0,1627.0,1874312
2004-08-06,1636.0,1727.0,1591.0,1607.0,396543
2004-08-09,1636.0,1655.0,1582.0,1586.0,93227
2004-08-10,1555.0,1582.0,1364.0,1455.0,242735
2004-08-11,1484.0,1673.0,1484.0,1673.0,935081
2004-08-12,1755.0,1898.0,1620.0,1623.0,2398044
2004-08-13,1632.0,1632.0,1541.0,1573.0,443135
2004-08-16,1564.0,1591.0,1523.0,1527.0,344630
2004-08-17,1527.0,1582.0,1505.0,1511.0,538864
2004-08-18,1514.0,1568.0,1505.0,1550.0,279664
2004-08-19,1557.0,1577.0,1520.0,1523.0,289113
2004-08-20,1534.0,1564.0,1520.0,1564.0,129162
2004-08-23,1575.0,1652.0,1555.0,1582.0,585776
2004-08-24,1550.0,1586.0,1545.0,1568.0,268891
2004-08-25,1568.0,1586.0,1550.0,1550.0,157278
2004-08-26,1552.0,1570.0,1552.0,1555.0,151558
2004-08-27,1555.0,1568.0,1514.0,1525.0,128326
2004-08-30,1507.0,1543.0,1507.0,1523.0,94864
2004-08-31,1516.0,1555.0,1500.0,1527.0,171497
2004-09-01,1514.0,1545.0,1514.0,1527.0,96668
2004-09-02,1523.0,1541.0,1493.0,1495.0,198374
2004-09-03,1495.0,1495.0,1430.0,1448.0,253638
2004-09-06,1443.0,1443.0,1350.0,1350.0,667181
2004-09-07,1373.0,1443.0,1357.0,1359.0,499457
2004-09-08,1364.0,1389.0,1359.0,1366.0,418660
2004-09-09,1359.0,1384.0,1355.0,1355.0,249568
2004-09-10,1359.0,1405.0,1345.0,1361.0,427308
2004-09-13,1380.0,1423.0,1380.0,1400.0,506957
2004-09-14,1418.0,1427.0,1364.0,1368.0,355344
2004-09-15,1382.0,1455.0,1382.0,1416.0,530677
2004-09-16,1418.0,1500.0,1418.0,1473.0,549897
2004-09-17,1509.0,1582.0,1484.0,1541.0,549155
2004-09-20,1545.0,1591.0,1441.0,1568.0,707190
2004-09-21,1548.0,1600.0,1527.0,1600.0,352990
2004-09-22,1659.0,1759.0,1618.0,1700.0,1070238
2004-09-23,1700.0,1750.0,1659.0,1727.0,305237
2004-09-24,1682.0,1734.0,1682.0,1727.0,408232
2004-09-30,1755.0,1768.0,1686.0,1768.0,685586
2004-10-01,1791.0,1800.0,1732.0,1786.0,211288
2004-10-04,1775.0,1850.0,1750.0,1841.0,220433
2004-10-05,1795.0,1968.0,1795.0,1968.0,337102
2004-10-06,1968.0,2032.0,1893.0,1914.0,466532
2004-10-07,1923.0,1923.0,1795.0,1816.0,242240
2004-10-08,1777.0,1841.0,1777.0,1816.0,97702
2004-10-11,1786.0,1845.0,1786.0,1814.0,303444
2004-10-12,1859.0,1864.0,1786.0,1789.0,131318
2004-10-13,1773.0,1795.0,1700.0,1700.0,223109
2004-10-14,1659.0,1750.0,1659.0,1745.0,366828
2004-10-15,1718.0,1745.0,1695.0,1695.0,81268
2004-10-18,1695.0,1718.0,1595.0,1595.0,276709
2004-10-19,1598.0,1620.0,1568.0,1575.0,159148
2004-10-20,1589.0,1795.0,1575.0,1773.0,468367
2004-10-21,1727.0,1832.0,1691.0,1832.0,263142
2004-10-22,1864.0,1864.0,1739.0,1739.0,191158
2004-10-25,1693.0,1814.0,1693.0,1714.0,410172
2004-10-26,1727.0,1782.0,1700.0,1750.0,211354
2004-10-27,1755.0,1786.0,1730.0,1730.0,176374
2004-10-28,1711.0,1761.0,1705.0,1705.0,240772
2004-10-29,1727.0,1741.0,1709.0,1718.0,53786
2004-11-01,1723.0,1723.0,1673.0,1675.0,201775
2004-11-02,1664.0,1709.0,1664.0,1682.0,83917
2004-11-03,1682.0,1705.0,1668.0,1698.0,87723
2004-11-04,1682.0,1764.0,1682.0,1750.0,157586
2004-11-05,1773.0,1805.0,1745.0,1768.0,318501
2004-11-08,1786.0,1800.0,1743.0,1786.0,138798
2004-11-09,1832.0,1857.0,1773.0,1775.0,240944
2004-11-10,1759.0,1818.0,1750.0,1814.0,138173
2004-11-11,1818.0,1834.0,1775.0,1795.0,91740
2004-11-12,1809.0,1891.0,1777.0,1841.0,230938
2004-11-15,1886.0,1995.0,1864.0,1932.0,694320
2004-11-16,1955.0,1982.0,1918.0,1982.0,261501
2004-11-17,2000.0,2045.0,1955.0,1966.0,359040
2004-11-18,1932.0,1966.0,1891.0,1909.0,212520
2004-11-19,1873.0,1945.0,1873.0,1945.0,212709
2004-11-22,1909.0,1945.0,1859.0,1861.0,166694
2004-11-23,1848.0,1914.0,1848.0,1868.0,77968
2004-11-24,1857.0,1895.0,1848.0,1848.0,130401
2004-11-25,1825.0,2123.0,1825.0,2100.0,841522
2004-11-26,2114.0,2134.0,2000.0,2082.0,412898
2004-11-29,2050.0,2098.0,2027.0,2027.0,247214
2004-11-30,2027.0,2086.0,2027.0,2045.0,210760
2004-12-01,1986.0,2086.0,1986.0,2009.0,279774
2004-12-02,2091.0,2091.0,2000.0,2000.0,117238
2004-12-03,2032.0,2068.0,1955.0,2036.0,225251
2004-12-06,2059.0,2059.0,2000.0,2036.0,144294
2004-12-07,2050.0,2145.0,2036.0,2048.0,479809
2004-12-08,2002.0,2061.0,2000.0,2000.0,116974
2004-12-09,1982.0,2000.0,1957.0,1957.0,185977
2004-12-10,1932.0,2000.0,1820.0,1961.0,278718
2004-12-13,1891.0,1941.0,1891.0,1891.0,114114
2004-12-14,1886.0,1977.0,1864.0,1886.0,189530
2004-12-15,1848.0,1911.0,1848.0,1909.0,207702
2004-12-16,1898.0,1955.0,1891.0,1911.0,113243
2004-12-17,1882.0,1925.0,1882.0,1900.0,149028
2004-12-20,1886.0,1918.0,1850.0,1855.0,196988
2004-12-21,1864.0,1895.0,1861.0,1891.0,166738
2004-12-22,1898.0,1950.0,1845.0,1845.0,167772
2004-12-23,1845.0,1905.0,1836.0,1845.0,128282
2004-12-24,1907.0,1943.0,1864.0,1882.0,293788
2004-12-27,1877.0,1932.0,1850.0,1932.0,682191
2004-12-28,1916.0,1961.0,1905.0,1950.0,538685
2004-12-29,1864.0,1893.0,1814.0,1845.0,277684
2004-12-30,1820.0,1859.0,1811.0,1814.0,159478
2005-01-03,1777.0,1798.0,1730.0,1773.0,219362
2005-01-04,1757.0,1789.0,1741.0,1773.0,183979
2005-01-05,1795.0,1877.0,1773.0,1850.0,320342
